time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
126485,0,0,0,24,476
126544,0,0,0,22,478
126581,0,0,0,24,476
126636,0,0,0,21,479
126658,0,0,0,24,476
126708,0,0,0,41,459
126772,0,0,0,35,465
126826,0,0,0,41,459
126826,0,0,0,19,481
126841,0,0,0,10,490
126897,0,0,0,19,481
126897,0,0,0,4,496
127015,0,0,0,19,481
127126,0,0,0,41,459
127126,0,0,0,22,478
127195,0,0,0,20,480
127195,0,0,0,9,491
127207,0,0,0,11,489
127308,0,0,0,70,430
127308,0,0,0,30,470
127308,0,0,0,16,484
127331,0,0,0,27,473
127331,0,0,0,6,494
127364,0,0,0,5,495
127372,0,0,0,24,476
127374,0,0,0,25,475
127451,0,0,0,8,492
127482,0,0,0,5,495
127520,0,0,0,8,492
127555,0,0,0,0,500
127556,0,0,0,14,486
127556,0,0,0,3,497
127634,0,0,0,24,476
127634,0,0,0,6,494
127644,0,0,0,406,94
127644,0,0,0,305,195
127644,0,0,0,73,427
127644,0,0,0,47,453
127644,0,0,0,17,483
127647,0,0,0,25,475
127672,0,0,0,42,458
127672,0,0,0,27,473
127736,0,0,0,38,462
127736,0,0,0,26,474
127767,0,0,0,44,456
127767,0,0,0,30,470
127770,0,0,0,70,430
127849,0,0,0,65,435
127849,0,0,0,47,453
127855,0,0,0,59,441
127915,0,0,0,64,436
127940,0,0,0,62,438
127946,0,0,0,77,423
127959,0,0,0,91,409
